League,Degree,whyplay,Age,GAD_T
Gold,High School,having fun,18,10
Gold,Bachelor,improving,18,8
Silver,High School,winning,19,6
Platinum,Bachelor,having fun,20,5
Silver,High School,having fun,23,1
Gold,Master,having fun,32,1
Platinum,Bachelor,relaxing,19,0
Gold,High School,improving,19,5
Platinum,High School,improving,19,10
Gold,Bachelor,winning,21,2
Platinum,Bachelor,improving,22,4
Silver,High School,having fun,25,3
Platinum,High School,having fun,20,0
Gold,High School,having fun,19,5
Gold,High School,improving,21,2
Silver,None,having fun,21,2
Silver,Bachelor,having fun,33,6
Silver,None,relaxing,19,3
Unranked,High School,having fun,18,0
Gold,High School,winning,18,4
Gold,High School,having fun,18,21
Platinum,High School,winning,20,5
Diamond,High School,having fun,24,4
Platinum,High School,winning,20,1
Silver,None,having fun,18,2
Diamond,None,winning,18,0
Platinum,High School,winning,20,1
Gold,High School,having fun,19,0
Unranked,High School,having fun,24,14
Gold,High School,relaxing,19,11
Silver,High School,having fun,18,1
Silver,None,having fun,18,6
Diamond,High School,winning,19,5
Bronze,High School,having fun,19,6
Gold,Bachelor,winning,22,15
Bronze,None,improving,18,6
Platinum,None,winning,18,5
Diamond,High School,improving,18,7
Bronze,High School,improving,20,5
Gold,High School,improving,18,9
Platinum,None,having fun,21,4
Gold,High School,winning,18,4
Gold,Bachelor,relaxing,19,4
Diamond,Bachelor,winning,27,21
Platinum,High School,having fun,21,8
Gold,None,improving,18,1
Silver,None,improving,19,2
Silver,High School,having fun,18,8
Gold,High School,having fun,20,12
Platinum,High School,improving,18,4
Gold,Master,improving,24,11
Diamond,High School,improving,18,4
Gold,High School,winning,21,2
Gold,None,winning,18,8
Diamond,High School,improving,19,2
Bronze,High School,improving,21,14
Bronze,High School,having fun,18,14
Diamond,High School,having fun,20,3
Silver,High School,improving,18,11
Gold,High School,improving,18,6
Platinum,High School,improving,22,1
Platinum,High School,improving,19,3
Gold,None,improving,20,3
Platinum,High School,improving,18,9
Silver,High School,improving,21,5
Unranked,Bachelor,having fun,27,10
Gold,High School,having fun,18,3
Gold,High School,improving,18,15
Gold,High School,improving,19,1
Gold,High School,relaxing,18,1
Unranked,Bachelor,improving,20,2
Unranked,Master,having fun,25,3
Gold,High School,improving,19,3
Silver,High School,improving,18,8
Diamond,High School,improving,20,2
Gold,High School,having fun,19,0
Platinum,Bachelor,having fun,22,0
Platinum,High School,winning,22,0
Diamond,Bachelor,improving,20,2
Diamond,High School,winning,18,11
Gold,Bachelor,improving,23,2
Platinum,High School,having fun,20,10
Silver,High School,winning,22,0
Gold,High School,having fun,19,1
Silver,High School,winning,22,10
Gold,Bachelor,improving,24,1
Platinum,Bachelor,improving,23,6
Silver,High School,improving,18,1
Unranked,High School,improving,23,3
Gold,High School,winning,20,3
Silver,High School,improving,19,3
Unranked,High School,improving,20,11
Platinum,None,having fun,18,3
Platinum,High School,relaxing,19,0
Silver,High School,improving,20,2
Gold,High School,winning,20,6
Silver,Bachelor,having fun,21,2
Silver,Bachelor,having fun,20,4
Platinum,Bachelor,improving,21,4
Unranked,High School,winning,18,9
Gold,High School,improving,22,14
Gold,High School,having fun,19,3
Bronze,High School,winning,29,21
Silver,High School,having fun,18,1
Silver,Bachelor,having fun,20,4
Gold,High School,improving,21,8
Silver,High School,relaxing,22,8
Gold,Bachelor,having fun,24,5
Gold,High School,improving,20,0
Gold,High School,improving,20,3
Gold,High School,improving,27,1
Silver,Bachelor,having fun,27,9
Gold,High School,having fun,25,1
Gold,None,having fun,21,3
Gold,High School,improving,19,2
Diamond,High School,relaxing,21,3
Platinum,High School,improving,20,10
Gold,High School,improving,19,4
Platinum,High School,having fun,19,3
Gold,High School,improving,23,4
Bronze,Bachelor,winning,28,6
Gold,Bachelor,winning,24,11
Platinum,None,having fun,18,2
Gold,High School,improving,19,11
Platinum,High School,winning,26,6
Unranked,High School,having fun,18,11
Gold,High School,having fun,18,1
Bronze,None,improving,18,13
Gold,High School,improving,21,0
Silver,High School,improving,18,5
Diamond,High School,improving,23,2
Platinum,High School,improving,22,10
Platinum,High School,improving,18,3
Diamond,High School,improving,21,3
Platinum,High School,improving,22,2
Silver,High School,winning,18,10
Silver,Bachelor,having fun,26,1
Gold,High School,improving,21,0
Silver,High School,having fun,18,1
Platinum,None,having fun,18,1
Silver,Bachelor,improving,24,3
Diamond,High School,having fun,21,11
Bronze,High School,improving,26,3
Gold,High School,winning,19,14
Diamond,Bachelor,improving,24,5
Platinum,High School,improving,18,1
Diamond,High School,improving,19,5
Platinum,High School,improving,18,5
Silver,Bachelor,relaxing,22,14
Gold,High School,having fun,18,7
Silver,None,having fun,18,2
Silver,High School,relaxing,21,5
Gold,High School,having fun,19,2
Silver,High School,having fun,20,2
Diamond,High School,improving,18,7
Gold,High School,improving,18,3
Silver,High School,improving,21,5
Silver,Bachelor,having fun,29,3
Diamond,High School,improving,20,3
Diamond,None,improving,24,7
Silver,High School,winning,19,11
Gold,Bachelor,having fun,22,7
Diamond,Bachelor,having fun,24,0
Platinum,High School,having fun,20,10
Gold,High School,having fun,19,7
Silver,High School,having fun,23,8
Diamond,High School,having fun,20,3
Gold,High School,improving,18,4
Diamond,None,improving,18,8
Silver,High School,improving,18,9
Platinum,Master,improving,27,6
Gold,Bachelor,having fun,18,2
Gold,High School,having fun,20,3
Unranked,None,having fun,18,3
Platinum,Bachelor,winning,24,6
Platinum,High School,improving,20,0
Platinum,None,improving,18,3
Gold,Bachelor,having fun,23,2
Platinum,Bachelor,improving,22,2
Platinum,None,having fun,18,2
Gold,High School,improving,21,10
Bronze,None,winning,35,14
Gold,High School,winning,22,7
Platinum,Bachelor,relaxing,25,3
Silver,High School,having fun,21,0
Gold,High School,improving,19,4
Platinum,Master,having fun,26,7
Gold,High School,having fun,19,2
Silver,High School,having fun,19,16
Diamond,High School,improving,21,21
Diamond,None,having fun,20,3
Silver,High School,having fun,20,9
Silver,None,improving,18,21
Unranked,None,improving,18,11
Gold,High School,having fun,25,18
Diamond,High School,improving,20,3
Platinum,None,having fun,19,6
Diamond,Master,improving,21,1
Platinum,None,winning,19,20
Gold,High School,improving,19,3
Silver,None,improving,18,9
Platinum,High School,winning,21,1
Gold,High School,winning,21,3
Gold,High School,relaxing,18,3
Platinum,High School,improving,19,2
Diamond,High School,improving,19,10
Gold,High School,having fun,18,4
Silver,Doctor,winning,29,9
Platinum,None,improving,18,9
Bronze,High School,improving,20,3
Silver,Bachelor,having fun,20,0
Platinum,High School,improving,21,2
Platinum,High School,winning,18,1
Platinum,High School,winning,21,4
Silver,High School,improving,21,5
Silver,None,improving,18,6
Unranked,High School,having fun,18,6
Platinum,High School,having fun,18,1
Platinum,Bachelor,improving,22,8
Platinum,High School,winning,27,0
Diamond,None,having fun,20,10
Silver,High School,having fun,22,8
Gold,Bachelor,improving,21,2
Platinum,High School,improving,21,4
Platinum,High School,having fun,18,3
Gold,High School,improving,18,2
Platinum,High School,improving,18,0
Platinum,High School,having fun,20,11
Gold,Bachelor,having fun,23,1
Silver,High School,improving,18,0
Gold,High School,winning,18,13
Platinum,High School,improving,20,2
Gold,High School,winning,19,7
Diamond,High School,improving,19,7
Unranked,Bachelor,having fun,23,8
Platinum,High School,improving,20,5
Gold,High School,having fun,22,0
Silver,Master,having fun,25,5
Platinum,High School,improving,18,13
Gold,High School,improving,19,7
Platinum,High School,having fun,20,0
Silver,High School,improving,21,4
Platinum,Bachelor,having fun,20,3
Platinum,High School,winning,19,7
Platinum,High School,having fun,20,1
Diamond,None,improving,19,14
Diamond,Bachelor,winning,22,6
Diamond,Bachelor,winning,24,1
Diamond,Bachelor,winning,22,3
Gold,High School,improving,23,4
Unranked,Bachelor,having fun,29,4
Platinum,High School,winning,18,13
Gold,Bachelor,having fun,29,1
Silver,Bachelor,having fun,23,0
Diamond,None,winning,19,14
Diamond,High School,relaxing,22,4
Gold,High School,winning,18,4
Platinum,High School,having fun,18,4
Platinum,High School,winning,19,2
Diamond,High School,improving,20,3
Bronze,Bachelor,improving,26,1
Gold,None,improving,19,1
Silver,High School,having fun,20,5
Gold,Bachelor,having fun,18,6
Diamond,Bachelor,improving,21,6
Gold,High School,improving,18,7
Gold,None,improving,18,9
Gold,None,winning,18,2
Platinum,High School,improving,19,11
Diamond,Bachelor,having fun,24,4
Diamond,High School,improving,24,6
Diamond,Bachelor,having fun,24,4
Silver,High School,having fun,18,9
Gold,High School,having fun,19,1
Silver,Bachelor,relaxing,21,2
Silver,High School,winning,20,12
Diamond,High School,improving,20,3
Platinum,None,having fun,18,1
Gold,High School,improving,18,8
Silver,Bachelor,winning,21,9
Silver,High School,winning,18,18
Platinum,High School,having fun,19,3
Platinum,High School,relaxing,19,9
Silver,High School,having fun,31,5
Platinum,High School,having fun,22,13
Platinum,Bachelor,relaxing,23,3
Platinum,Bachelor,winning,23,6
Platinum,High School,improving,19,9
Silver,High School,having fun,21,8
Diamond,None,winning,18,1
Diamond,High School,improving,21,3
Platinum,High School,having fun,19,9
Gold,High School,winning,18,3
Unranked,Bachelor,improving,24,2
Gold,High School,winning,22,6
Unranked,Master,having fun,29,1
Gold,High School,winning,18,5
Bronze,None,having fun,18,2
Gold,High School,improving,18,18
Silver,Bachelor,winning,22,7
Silver,High School,winning,18,3
Silver,None,improving,18,4
Platinum,High School,having fun,21,2
Silver,High School,improving,20,15
Gold,High School,having fun,18,7
Platinum,High School,having fun,20,9
Silver,High School,having fun,20,1
Platinum,High School,winning,18,3
Platinum,High School,improving,23,4
Gold,High School,having fun,21,7
Gold,Bachelor,improving,24,0
Platinum,Bachelor,improving,24,5
Gold,High School,improving,22,5
Diamond,High School,having fun,21,4
Diamond,None,improving,18,5
Gold,None,improving,18,10
Silver,None,improving,19,10
Diamond,Bachelor,improving,20,0
Platinum,High School,relaxing,18,9
Unranked,None,improving,19,2
Gold,High School,improving,19,2
Silver,High School,having fun,21,1
Platinum,High School,improving,19,3
Silver,High School,improving,20,2
Silver,High School,having fun,18,5
Silver,Bachelor,improving,29,5
Diamond,High School,improving,18,4
Gold,Bachelor,improving,27,7
Silver,High School,relaxing,21,8
Platinum,None,having fun,18,5
Platinum,High School,improving,21,1
Diamond,High School,having fun,21,1
Silver,Bachelor,improving,22,0
Gold,None,having fun,18,1
Gold,Bachelor,improving,24,3
Diamond,Bachelor,improving,23,2
Platinum,High School,having fun,25,9
Diamond,High School,winning,19,4
Diamond,High School,having fun,19,9
Silver,High School,winning,25,3
Silver,Doctor,winning,24,4
Gold,None,winning,18,1
Diamond,High School,improving,20,1
Gold,Bachelor,having fun,27,4
Silver,High School,winning,20,1
Silver,High School,improving,18,1
Unranked,High School,improving,19,8
Gold,High School,having fun,18,5
Platinum,High School,having fun,19,2
Gold,None,winning,18,10
Platinum,High School,having fun,18,0
Gold,Bachelor,winning,26,3
Diamond,High School,having fun,20,3
Diamond,High School,improving,19,8
Platinum,Bachelor,improving,25,12
Bronze,High School,improving,19,6
Silver,High School,improving,21,14
Gold,Bachelor,having fun,21,10
Gold,High School,winning,21,9
Gold,High School,winning,19,1
Platinum,High School,having fun,18,6
Gold,Bachelor,having fun,27,2
Platinum,High School,improving,22,6
Diamond,High School,having fun,19,1
Platinum,High School,improving,18,2
Silver,High School,having fun,26,5
Gold,Bachelor,improving,25,13
Silver,High School,having fun,18,6
Gold,High School,having fun,20,5
Diamond,None,having fun,20,14
Gold,High School,having fun,19,7
Gold,High School,winning,29,0
Silver,High School,having fun,18,6
Bronze,High School,improving,22,6
Unranked,Bachelor,improving,21,0
Gold,None,winning,19,5
Silver,High School,improving,21,13
Silver,Bachelor,improving,26,13
Platinum,High School,having fun,19,4
Platinum,Bachelor,winning,25,3
Diamond,High School,winning,18,4
Gold,High School,winning,21,9
Unranked,High School,having fun,19,4
Gold,Bachelor,having fun,21,3
Platinum,Bachelor,improving,20,0
Gold,Bachelor,improving,23,17
Platinum,Bachelor,improving,24,4
Silver,Master,having fun,28,2
Platinum,High School,winning,23,0
Silver,High School,having fun,23,4
Silver,High School,having fun,21,3
Gold,High School,improving,25,7
Silver,Bachelor,winning,25,0
Platinum,None,having fun,18,0
Gold,High School,having fun,22,5
Silver,High School,having fun,22,4
Platinum,None,having fun,19,2
Gold,Bachelor,having fun,30,12
Silver,Bachelor,improving,25,3
Gold,Bachelor,having fun,27,2
Silver,High School,improving,20,13
Gold,None,improving,18,0
Diamond,High School,improving,19,6
Platinum,None,having fun,18,2
Silver,High School,winning,21,1
Silver,None,having fun,18,1
Platinum,High School,winning,19,3
Silver,High School,improving,21,9
Gold,High School,having fun,21,8
Platinum,High School,having fun,19,3
Gold,High School,winning,20,1
Gold,High School,improving,18,3
Diamond,High School,winning,19,10
Silver,High School,having fun,18,8
Unranked,High School,improving,21,4
Platinum,None,having fun,18,2
Silver,High School,having fun,21,6
Silver,High School,having fun,21,6
Diamond,High School,improving,20,13
Bronze,High School,having fun,19,2
Platinum,High School,winning,18,7
Gold,None,improving,18,10
Silver,Bachelor,having fun,24,0
Platinum,Bachelor,improving,26,11
Silver,High School,having fun,19,8
Gold,High School,having fun,25,0
Silver,None,improving,18,4
Silver,Bachelor,having fun,25,5
Gold,High School,winning,20,5
Diamond,High School,improving,27,13
Gold,High School,having fun,19,0
Silver,Bachelor,having fun,22,13
Diamond,High School,winning,19,13
Gold,High School,winning,18,5
Gold,High School,having fun,18,1
Platinum,Bachelor,having fun,20,9
Bronze,High School,improving,19,6
Silver,Bachelor,improving,23,7
Gold,High School,having fun,25,7
Silver,High School,having fun,18,2
Gold,None,improving,19,1
Gold,High School,improving,19,0
Silver,Bachelor,winning,18,7
Gold,High School,improving,24,0
Gold,High School,having fun,20,3
Bronze,High School,winning,18,1
Gold,High School,improving,24,5
Gold,Bachelor,having fun,20,3
Gold,High School,having fun,19,1
Gold,High School,having fun,20,2
Silver,Bachelor,having fun,27,1
Silver,High School,improving,18,7
Silver,High School,improving,18,0
Gold,High School,having fun,18,7
Platinum,High School,relaxing,19,4
Silver,High School,improving,28,9
Silver,None,improving,18,9
Diamond,High School,improving,18,9
Silver,Master,improving,36,1
Platinum,High School,winning,20,9
Gold,Bachelor,having fun,23,15
Platinum,High School,improving,19,2
Platinum,Bachelor,improving,26,1
Diamond,None,winning,18,7
Gold,High School,improving,18,15
Diamond,High School,improving,23,5
Diamond,High School,having fun,21,4
Silver,High School,having fun,19,6
Gold,High School,having fun,20,12
Platinum,Bachelor,having fun,23,2
Platinum,Bachelor,improving,23,3
Platinum,High School,having fun,19,9
Gold,High School,having fun,26,3
Gold,High School,having fun,18,3
Gold,High School,improving,18,2
Silver,Bachelor,winning,21,12
Silver,High School,having fun,18,5
Gold,High School,improving,18,5
Silver,High School,having fun,26,5
Gold,None,having fun,18,3
Bronze,Bachelor,having fun,22,1
Gold,High School,winning,19,2
Silver,High School,improving,20,12
Platinum,High School,having fun,19,1
Gold,Master,having fun,21,6
Silver,High School,winning,18,16
Gold,High School,winning,24,19
Diamond,Bachelor,improving,19,4
Silver,High School,winning,19,11
Platinum,High School,having fun,21,1
Unranked,High School,winning,20,4
Platinum,High School,having fun,21,2
Platinum,High School,improving,20,8
Gold,Bachelor,improving,24,1
Gold,High School,improving,18,11
Silver,High School,having fun,21,4
Diamond,High School,improving,20,2
Platinum,High School,improving,18,8
Diamond,High School,improving,23,6
Gold,High School,winning,25,3
Gold,High School,having fun,20,3
Platinum,Bachelor,improving,18,5
Gold,High School,having fun,18,10
Platinum,High School,improving,21,14
Platinum,Master,having fun,30,1
Platinum,None,improving,20,12
Silver,None,winning,18,2
Diamond,None,improving,18,8
Gold,High School,improving,19,2
Silver,High School,having fun,19,3
Silver,High School,having fun,20,0
Diamond,Bachelor,winning,31,3
Gold,High School,improving,21,6
Silver,None,improving,18,1
Silver,None,having fun,18,2
Gold,High School,winning,20,1
Platinum,None,having fun,20,0
Gold,High School,improving,18,8
Platinum,High School,having fun,23,17
Gold,None,improving,22,1
Platinum,High School,improving,19,12
Gold,High School,having fun,18,1
Silver,Bachelor,improving,24,9
Silver,High School,improving,21,16
Diamond,High School,having fun,20,9
Platinum,High School,having fun,19,3
Diamond,Bachelor,winning,21,9
Platinum,None,relaxing,18,11
Gold,High School,winning,21,1
Silver,High School,having fun,23,14
Silver,High School,having fun,22,13
Platinum,High School,improving,21,3
Diamond,High School,having fun,19,5
Gold,Bachelor,winning,21,4
Gold,Bachelor,having fun,25,19
Silver,High School,having fun,20,3
Diamond,High School,having fun,22,9
Bronze,Bachelor,having fun,22,2
Platinum,High School,having fun,18,7
Silver,High School,improving,18,15
Platinum,None,having fun,18,8
Diamond,Bachelor,having fun,21,3
Silver,High School,having fun,18,6
Silver,Bachelor,having fun,24,2
Platinum,High School,having fun,20,3
Gold,Bachelor,improving,24,2
Silver,Bachelor,improving,20,0
Silver,High School,improving,21,6
Diamond,High School,improving,22,1
Platinum,High School,improving,21,8
Gold,Master,improving,26,5
Gold,None,improving,18,1
Silver,High School,winning,18,1
Diamond,High School,winning,18,11
Silver,None,having fun,22,11
Gold,High School,having fun,24,0
Gold,High School,having fun,19,17
Gold,High School,having fun,25,0
Platinum,High School,winning,22,4
Gold,Master,winning,28,0
Platinum,High School,winning,19,5
Silver,High School,having fun,18,2
Gold,High School,having fun,18,5
Silver,High School,having fun,20,11
Platinum,Bachelor,winning,25,6
Diamond,High School,having fun,19,9
Gold,Bachelor,improving,18,10
Gold,None,having fun,18,10
Platinum,High School,having fun,18,2
Silver,None,having fun,18,5
Diamond,Master,improving,19,2
Diamond,High School,winning,18,0
Diamond,High School,winning,21,2
Gold,High School,improving,18,2
Silver,High School,improving,21,8
Gold,High School,having fun,21,2
Silver,High School,having fun,21,2
Gold,High School,improving,27,2
Gold,Bachelor,relaxing,23,2
Platinum,None,winning,18,11
Diamond,Bachelor,winning,33,14
Diamond,Master,having fun,24,8
Bronze,Master,having fun,26,4
Gold,Bachelor,having fun,23,1
Platinum,High School,improving,21,1
Gold,High School,improving,24,6
Silver,None,improving,18,10
Platinum,Bachelor,improving,21,5
Diamond,None,having fun,18,1
Silver,None,improving,18,3
Gold,High School,winning,27,21
Silver,None,having fun,18,16
Gold,High School,relaxing,22,9
Gold,High School,winning,22,8
Silver,High School,improving,32,12
Diamond,Master,winning,24,5
Bronze,Bachelor,winning,26,4
Bronze,High School,relaxing,19,4
Platinum,High School,improving,20,1
Platinum,High School,improving,21,9
Platinum,None,improving,18,2
Gold,High School,winning,20,3
Gold,Bachelor,winning,22,10
Silver,None,improving,18,7
Diamond,None,improving,19,6
Diamond,High School,improving,25,0
Silver,High School,improving,19,1
Diamond,None,improving,18,3
Platinum,Bachelor,having fun,23,2
Platinum,High School,having fun,22,1
Gold,High School,relaxing,18,5
Platinum,High School,having fun,19,11
Gold,High School,winning,18,9
Gold,High School,having fun,19,3
Silver,High School,relaxing,26,7
Platinum,High School,improving,23,15
Gold,High School,having fun,24,2
Platinum,High School,improving,22,7
Platinum,High School,winning,21,2
Platinum,Bachelor,winning,22,6
Gold,Bachelor,winning,25,5
Gold,Bachelor,improving,29,7
Gold,None,having fun,18,4
Platinum,High School,improving,19,8
Platinum,None,improving,18,10
Gold,High School,having fun,19,2
Gold,None,improving,18,3
Platinum,Bachelor,having fun,24,5
Silver,High School,improving,18,10
Platinum,High School,improving,19,4
Bronze,High School,improving,24,0
Gold,High School,having fun,21,8
Silver,High School,improving,18,4
Platinum,Bachelor,improving,20,12
Platinum,Bachelor,having fun,20,21
Silver,High School,having fun,26,1
Bronze,Master,having fun,26,2
Silver,High School,improving,21,6
Gold,None,having fun,18,7
Platinum,High School,improving,19,4
Diamond,Bachelor,having fun,21,1
Diamond,High School,improving,19,4
Bronze,Bachelor,improving,23,9
Silver,Bachelor,having fun,27,10
Silver,Bachelor,having fun,23,7
Platinum,Bachelor,winning,25,6
Silver,Bachelor,having fun,25,13
Platinum,None,improving,23,3
Silver,Bachelor,winning,21,3
Gold,Bachelor,winning,19,10
Platinum,High School,winning,20,1
Silver,Doctor,having fun,24,1
Bronze,High School,having fun,19,6
Platinum,Bachelor,improving,20,2
Silver,High School,having fun,21,3
Gold,None,having fun,19,2
Silver,High School,having fun,21,3
Gold,High School,improving,19,7
Silver,None,improving,19,7
Gold,High School,having fun,18,4
Platinum,High School,having fun,21,5
Platinum,High School,improving,18,3
Bronze,High School,having fun,20,13
Gold,High School,having fun,20,13
Gold,High School,improving,21,1
Platinum,High School,improving,20,7
Diamond,High School,winning,21,6
Platinum,Master,having fun,35,1
Silver,Bachelor,improving,34,0
Silver,High School,improving,18,1
Gold,High School,having fun,22,10
Silver,High School,having fun,21,5
Silver,Bachelor,having fun,33,2
Gold,Master,having fun,25,5
Platinum,High School,winning,24,9
Platinum,High School,winning,18,7
Bronze,High School,having fun,19,0
Platinum,High School,winning,21,0
Silver,None,having fun,18,12
Platinum,High School,improving,19,0
Gold,None,improving,18,12
Platinum,High School,improving,20,10
Silver,High School,having fun,20,2
Diamond,None,having fun,18,4
Gold,High School,having fun,18,10
Silver,High School,having fun,19,19
Silver,Bachelor,having fun,22,4
Diamond,High School,having fun,18,0
Diamond,High School,winning,20,18
Gold,High School,improving,18,5
Diamond,High School,improving,20,2
Silver,Bachelor,having fun,26,2
Gold,High School,improving,18,11
Gold,Master,having fun,25,8
Diamond,None,improving,18,15
Silver,Bachelor,improving,22,2
Gold,Bachelor,having fun,25,2
Bronze,Bachelor,having fun,26,1
Gold,High School,having fun,22,4
Unranked,High School,improving,21,5
Silver,Bachelor,having fun,31,1
Gold,Master,improving,19,0
Gold,High School,having fun,19,4
Silver,Bachelor,having fun,26,5
Platinum,None,having fun,18,5
Platinum,High School,winning,18,8
Platinum,Bachelor,winning,25,1
Silver,High School,winning,23,6
Gold,None,improving,18,3
Silver,High School,improving,19,4
Silver,None,having fun,18,2
Gold,Bachelor,having fun,22,1
Bronze,High School,improving,20,4
Silver,High School,improving,19,11
Platinum,High School,improving,22,2
Silver,High School,improving,18,4
Silver,Bachelor,having fun,24,2
Silver,Bachelor,winning,30,4
Gold,High School,relaxing,18,9
Gold,High School,having fun,18,6
Bronze,High School,relaxing,20,19
Platinum,High School,having fun,22,4
Platinum,Master,winning,26,4
Gold,Doctor,improving,27,4
Gold,High School,winning,22,17
Diamond,High School,improving,19,6
Silver,High School,having fun,20,9
Gold,High School,having fun,20,7
Gold,High School,having fun,18,1
Gold,High School,winning,19,9
Bronze,Master,improving,21,3
Bronze,High School,improving,19,4
Gold,High School,improving,20,9
Diamond,High School,winning,21,0
Silver,High School,having fun,23,3
Diamond,High School,improving,18,5
Gold,Master,having fun,30,10
Unranked,Bachelor,having fun,23,0
Silver,High School,having fun,18,2
Silver,Bachelor,improving,22,14
Gold,High School,improving,18,3
Diamond,High School,having fun,22,2
Platinum,High School,relaxing,18,1
Platinum,High School,improving,19,7
Diamond,High School,improving,19,1
Diamond,None,improving,18,2
Gold,None,winning,20,11
Platinum,High School,improving,19,10
Diamond,High School,winning,19,5
Unranked,High School,improving,20,2
Gold,Bachelor,improving,22,4
Silver,High School,winning,22,1
Platinum,High School,having fun,19,4
Gold,High School,winning,18,7
Gold,High School,having fun,18,4
Gold,None,improving,18,6
Silver,Bachelor,winning,22,6
Silver,High School,relaxing,18,1
Gold,High School,having fun,23,17
Gold,High School,improving,20,3
Silver,High School,winning,22,7
Silver,High School,winning,18,3
Diamond,None,winning,18,9
Gold,High School,improving,21,4
Diamond,Bachelor,winning,19,2
Platinum,Bachelor,improving,28,4
Platinum,High School,having fun,18,8
Diamond,Master,relaxing,21,5
Platinum,High School,improving,20,3
Diamond,High School,improving,19,2
Diamond,High School,winning,18,7
Silver,High School,improving,22,1
Silver,High School,having fun,21,8
Gold,High School,improving,21,14
Gold,High School,improving,18,1
Diamond,High School,improving,19,2
Platinum,None,improving,18,13
Silver,High School,having fun,20,17
Gold,High School,relaxing,21,0
Gold,High School,having fun,21,18
Gold,Bachelor,having fun,23,5
Silver,High School,improving,22,12
Silver,High School,having fun,22,5
Platinum,High School,improving,19,5
Diamond,High School,having fun,24,5
Silver,High School,improving,18,2
Gold,High School,having fun,20,9
Platinum,High School,improving,18,0
Diamond,High School,having fun,25,0
Diamond,None,improving,18,1
Gold,Bachelor,winning,22,9
Platinum,High School,having fun,25,0
Diamond,High School,improving,21,16
Diamond,High School,winning,19,5
Bronze,Bachelor,improving,24,8
Platinum,High School,improving,20,7
Unranked,High School,improving,21,4
Gold,High School,improving,18,6
Silver,High School,having fun,26,12
Silver,Bachelor,winning,19,2
Platinum,Master,winning,25,2
Silver,Bachelor,having fun,22,10
Silver,High School,relaxing,19,2
Gold,High School,improving,18,1
Diamond,High School,improving,18,3
Diamond,High School,improving,21,10
Gold,High School,having fun,20,0
Silver,Master,improving,27,5
Bronze,High School,improving,24,2
Silver,High School,improving,21,3
Gold,High School,having fun,22,1
Diamond,High School,improving,20,11
Gold,High School,relaxing,19,13
Diamond,High School,improving,21,0
Diamond,High School,improving,18,4
Platinum,High School,improving,19,0
Gold,Bachelor,relaxing,31,3
Silver,None,having fun,18,4
Platinum,High School,improving,19,0
Platinum,None,improving,18,2
Platinum,High School,improving,18,9
Unranked,High School,improving,21,13
Platinum,High School,winning,19,16
Diamond,High School,winning,19,7
Gold,High School,improving,19,0
Platinum,High School,improving,18,6
Silver,Bachelor,having fun,24,14
Silver,High School,improving,18,4
Silver,High School,improving,20,16
Silver,Bachelor,improving,23,2
Diamond,High School,having fun,18,1
Gold,High School,having fun,22,0
Bronze,None,improving,18,7
Gold,High School,having fun,26,1
Platinum,High School,improving,19,4
Platinum,High School,improving,27,1
Silver,Doctor,improving,27,0
Silver,High School,improving,19,4
Gold,High School,winning,19,2
Platinum,High School,winning,19,4
Platinum,High School,winning,20,5
Gold,Doctor,winning,18,5
Silver,Doctor,having fun,22,2
Unranked,High School,improving,23,2
Silver,None,having fun,24,10
Platinum,High School,improving,20,10
Gold,High School,relaxing,23,5
Silver,High School,having fun,21,1
Diamond,High School,having fun,19,5
Bronze,High School,having fun,20,15
Bronze,High School,having fun,18,4
Gold,High School,improving,18,13
Diamond,High School,improving,20,0
Silver,High School,winning,19,15
Gold,High School,having fun,18,2
Platinum,Bachelor,having fun,23,5
Gold,High School,having fun,18,3
Gold,Bachelor,improving,25,3
Diamond,None,improving,18,2
Platinum,High School,having fun,18,4
Silver,High School,having fun,20,4
Platinum,High School,improving,19,5
Diamond,Bachelor,improving,21,7
Bronze,High School,having fun,22,8
Platinum,High School,improving,21,8
Diamond,High School,winning,20,18
Platinum,Bachelor,improving,21,6
Gold,Master,having fun,30,4
Diamond,None,improving,18,5
Gold,High School,having fun,19,3
Platinum,High School,having fun,18,8
Gold,High School,winning,19,0
Diamond,High School,having fun,19,1
Gold,High School,improving,22,2
Gold,None,winning,23,1
Gold,High School,improving,18,10
Silver,None,improving,18,21
Silver,High School,having fun,20,8
Diamond,High School,improving,18,4
Platinum,Bachelor,having fun,25,1
Platinum,High School,having fun,20,5
Unranked,High School,improving,18,6
Diamond,None,winning,18,11
Unranked,High School,having fun,20,2
Bronze,Bachelor,having fun,28,3
Gold,High School,winning,19,5
Unranked,High School,improving,18,6
Silver,High School,improving,20,8
Platinum,Bachelor,improving,25,9
Gold,Master,having fun,26,1
Platinum,Bachelor,having fun,26,9
Silver,High School,improving,18,3
Gold,None,improving,18,1
Gold,None,having fun,18,2
Diamond,High School,winning,18,11
Silver,High School,winning,23,7
Diamond,High School,improving,19,4
Platinum,High School,improving,18,8
Gold,High School,winning,22,6
Silver,High School,having fun,18,1
Diamond,None,winning,18,13
Platinum,High School,improving,18,9
Bronze,Bachelor,having fun,29,3
Gold,Bachelor,improving,22,7
Silver,High School,having fun,27,0
Silver,High School,improving,19,7
Platinum,High School,having fun,20,7
Diamond,Bachelor,improving,21,2
Platinum,None,improving,19,1
