League,Degree,Age,GAD_T
Gold,High School,22,5
Gold,Bachelor,22,3
Gold,High School,18,1
Diamond,Bachelor,24,1
Silver,High School,19,3
Silver,High School,22,8
Platinum,None,18,0
Gold,High School,21,8
Diamond,High School,18,14
Diamond,High School,23,4
Diamond,Bachelor,20,4
Diamond,High School,18,5
Silver,High School,19,19
Silver,High School,18,11
Gold,High School,19,0
Silver,High School,18,8
Diamond,High School,21,6
Unranked,Bachelor,23,0
Silver,High School,22,2
Diamond,High School,19,11
Gold,High School,19,7
Gold,High School,19,6
Gold,Bachelor,24,1
Silver,High School,18,5
Bronze,Bachelor,25,5
Gold,High School,24,0
Bronze,None,18,8
Diamond,High School,19,5
Gold,None,18,7
Silver,High School,19,13
Platinum,Master,21,2
Platinum,High School,19,0
Gold,High School,18,2
Platinum,High School,19,3
Unranked,High School,19,3
Platinum,Bachelor,22,2
Gold,Bachelor,24,0
Diamond,Bachelor,20,1
Platinum,High School,18,13
Platinum,High School,20,9
Gold,High School,23,2
Bronze,High School,19,4
Silver,High School,19,4
Platinum,High School,20,3
Platinum,High School,22,20
Silver,High School,23,1
Platinum,Bachelor,20,2
Gold,High School,18,8
Platinum,High School,21,20
Gold,High School,21,19
Platinum,High School,25,19
Silver,Bachelor,23,0
Silver,None,20,1
Silver,High School,19,10
Gold,Master,27,3
Gold,High School,23,2
Gold,High School,22,9
Silver,High School,19,8
Platinum,High School,18,11
Gold,High School,20,1
Silver,Bachelor,19,11
Gold,High School,22,5
Silver,Bachelor,21,1
Platinum,High School,20,2
Silver,High School,20,13
Platinum,High School,20,14
Gold,None,18,5
Platinum,High School,18,8
Silver,High School,18,0
Platinum,High School,19,0
Gold,High School,19,21
Diamond,Bachelor,21,9
Silver,None,18,2
Silver,Bachelor,27,2
Gold,High School,18,4
Gold,High School,30,4
Platinum,Bachelor,21,3
Silver,Bachelor,31,2
Gold,High School,20,0
Platinum,None,18,8
Gold,High School,19,3
Unranked,High School,24,10
Gold,None,18,2
Silver,High School,21,2
Platinum,Bachelor,18,0
Gold,High School,21,9
Gold,High School,20,5
Unranked,Master,26,8
Platinum,High School,18,17
Silver,High School,24,0
Platinum,High School,21,1
Gold,High School,18,0
Platinum,None,20,1
Gold,None,18,13
Platinum,None,18,3
Gold,Bachelor,27,2
Silver,High School,21,5
Gold,High School,18,2
Diamond,Bachelor,26,3
Gold,High School,21,10
Gold,Bachelor,23,6
Gold,High School,18,2
Platinum,High School,18,9
Diamond,Bachelor,26,10
Silver,Bachelor,22,4
Silver,Bachelor,24,0
Gold,High School,20,2
Gold,High School,24,16
Platinum,High School,18,9
Platinum,Bachelor,23,0
Diamond,High School,20,14
Silver,Bachelor,26,3
Gold,Bachelor,26,1
Platinum,High School,19,1
Diamond,High School,20,1
Gold,Bachelor,18,5
Platinum,None,18,9
Silver,High School,20,13
Gold,High School,18,9
Gold,High School,21,3
Platinum,Bachelor,25,7
Gold,High School,18,6
Silver,High School,21,15
Silver,Bachelor,30,3
Platinum,None,23,1
Bronze,High School,20,21
Silver,High School,20,5
Bronze,Bachelor,21,4
Gold,High School,18,9
Gold,Bachelor,23,9
Diamond,Bachelor,22,2
Gold,High School,21,3
Gold,High School,20,2
Gold,Bachelor,20,8
Silver,High School,18,0
Unranked,High School,19,14
Gold,High School,20,5
Gold,Bachelor,19,17
Platinum,High School,20,18
Silver,High School,20,4
Bronze,High School,18,1
Gold,High School,24,6
Gold,High School,19,3
Gold,None,18,9
Platinum,High School,24,1
Silver,High School,22,2
Platinum,High School,18,2
Unranked,High School,18,10
Platinum,High School,20,4
Platinum,High School,18,6
Platinum,None,18,7
Unranked,High School,23,1
Silver,High School,18,6
Gold,High School,18,1
Platinum,High School,20,1
Diamond,High School,18,6
Platinum,None,18,14
Silver,High School,19,10
Gold,Bachelor,26,1
Bronze,High School,23,7
Silver,High School,20,3
Unranked,High School,18,7
Silver,None,18,3
Gold,None,18,2
Platinum,High School,21,18
Silver,High School,23,8
Platinum,High School,18,3
Platinum,High School,19,6
Gold,High School,21,10
Platinum,High School,18,3
Platinum,High School,18,10
Silver,High School,25,15
Unranked,None,18,5
Bronze,High School,27,13
Gold,High School,21,7
Gold,High School,21,0
Diamond,High School,22,8
Platinum,Bachelor,25,8
Platinum,High School,20,4
Gold,High School,18,2
Gold,High School,19,12
Silver,High School,21,4
Diamond,High School,19,4
Platinum,High School,23,4
Platinum,High School,18,13
Gold,None,18,2
Gold,High School,23,9
Platinum,High School,18,12
Gold,Bachelor,18,0
Gold,High School,21,17
Diamond,High School,20,21
Platinum,None,18,15
Silver,High School,19,2
Unranked,High School,20,10
Platinum,High School,18,1
Gold,High School,22,13
Silver,High School,20,2
Gold,High School,25,8
Silver,High School,23,0
Diamond,High School,18,1
Platinum,High School,18,5
Platinum,High School,18,14
Platinum,High School,20,11
Silver,High School,18,11
Platinum,High School,19,2
Platinum,Bachelor,23,10
Platinum,Bachelor,24,1
Gold,Doctor,18,5
Gold,High School,20,1
Diamond,High School,20,3
Platinum,None,19,16
Platinum,High School,23,3
Silver,High School,20,12
Gold,None,18,3
Diamond,Bachelor,20,8
Unranked,High School,19,3
Bronze,High School,20,14
Bronze,Bachelor,28,21
Silver,Bachelor,23,6
Bronze,Bachelor,21,1
Gold,Bachelor,22,0
Silver,High School,22,2
Gold,High School,21,2
Platinum,High School,20,5
Diamond,None,20,5
Bronze,Bachelor,29,2
Gold,High School,21,11
Gold,High School,19,10
Gold,High School,18,7
Silver,Bachelor,29,4
Gold,Bachelor,25,13
Platinum,High School,20,3
Gold,High School,20,1
Silver,None,20,9
Gold,Bachelor,23,13
Bronze,High School,18,10
Platinum,None,26,9
Unranked,High School,21,7
Gold,High School,19,2
Diamond,High School,25,8
Gold,High School,19,0
Silver,High School,18,5
Gold,High School,18,3
Diamond,High School,21,3
Gold,High School,22,9
Platinum,High School,18,2
Gold,High School,22,6
Silver,Bachelor,23,14
Silver,High School,18,17
Diamond,High School,18,1
Gold,None,18,2
Diamond,Bachelor,22,7
Gold,High School,18,11
Diamond,High School,19,4
Gold,High School,18,1
Platinum,None,18,8
Platinum,High School,20,7
Diamond,Bachelor,25,3
Gold,High School,22,4
Gold,Bachelor,23,0
Silver,Bachelor,25,5
Platinum,High School,24,2
Gold,High School,21,8
Silver,High School,21,7
Platinum,Bachelor,22,0
Gold,High School,18,6
Diamond,High School,20,0
Diamond,High School,23,3
Gold,None,18,18
Gold,High School,18,2
Platinum,High School,18,14
Platinum,Bachelor,18,5
Gold,Bachelor,19,2
Diamond,High School,21,3
Gold,Bachelor,23,18
Gold,None,19,5
Silver,Bachelor,21,1
Silver,High School,23,4
Silver,High School,18,9
Platinum,High School,20,16
Silver,Bachelor,24,4
Gold,High School,18,1
Platinum,High School,19,5
Silver,High School,19,1
Silver,None,18,5
Gold,High School,20,5
Gold,High School,22,7
Diamond,None,18,7
Diamond,None,18,5
Platinum,High School,20,6
Bronze,Bachelor,19,9
Platinum,High School,20,9
Unranked,High School,18,4
Platinum,High School,23,2
Silver,Bachelor,26,7
Platinum,Bachelor,25,0
Silver,High School,22,0
Diamond,High School,20,18
Silver,None,18,2
Gold,High School,20,6
Gold,Master,23,2
Diamond,High School,19,8
Diamond,High School,19,1
Gold,Bachelor,20,5
Gold,High School,18,2
Platinum,High School,19,1
Gold,High School,26,3
Diamond,High School,21,4
Diamond,High School,19,7
Silver,None,19,2
Gold,High School,21,2
Platinum,High School,19,2
Gold,Bachelor,19,4
Gold,High School,18,8
Silver,High School,24,1
Gold,None,18,6
Gold,High School,30,4
Gold,High School,18,3
Diamond,High School,22,9
Gold,None,18,6
Diamond,High School,24,12
Diamond,High School,20,2
Gold,High School,19,4
Gold,High School,20,4
Bronze,High School,21,2
Diamond,Bachelor,26,4
Gold,High School,21,2
Silver,High School,19,1
Platinum,High School,18,4
Gold,High School,19,10
Silver,High School,18,6
Unranked,High School,21,7
Gold,High School,20,10
Silver,High School,19,8
Silver,High School,18,3
Gold,Bachelor,23,8
Diamond,Bachelor,21,1
Diamond,High School,20,3
Silver,Bachelor,22,13
Gold,High School,19,4
Gold,None,19,2
Diamond,High School,22,2
Gold,High School,21,2
Diamond,High School,23,3
Gold,High School,19,3
Diamond,High School,20,5
Gold,None,18,10
Silver,High School,19,3
Gold,Doctor,30,4
Platinum,High School,25,5
Silver,High School,18,3
Gold,Doctor,23,7
Silver,High School,19,6
Platinum,None,19,16
Platinum,High School,21,5
Platinum,Bachelor,19,8
Platinum,Bachelor,19,1
Gold,Master,22,4
Gold,High School,19,0
Diamond,Bachelor,21,2
Platinum,Bachelor,24,21
Gold,High School,20,5
Silver,Bachelor,25,2
Silver,High School,18,3
Platinum,High School,21,9
Gold,Bachelor,21,0
Gold,High School,25,3
Silver,Bachelor,21,8
Platinum,High School,19,5
Platinum,Master,27,1
Gold,None,18,2
Silver,High School,18,0
Diamond,High School,18,8
Gold,High School,21,1
Silver,High School,18,1
Silver,High School,18,0
Platinum,Bachelor,21,4
Platinum,High School,20,0
Silver,High School,25,4
Silver,Bachelor,22,3
Diamond,None,18,6
Silver,High School,20,5
Silver,High School,20,0
Gold,Bachelor,36,4
Platinum,High School,18,9
Gold,High School,19,6
Gold,High School,20,6
Gold,High School,19,1
Silver,High School,18,2
Bronze,Master,27,13
Diamond,Bachelor,22,21
Gold,High School,23,11
Diamond,None,19,5
Diamond,High School,18,12
Bronze,None,18,1
Platinum,High School,19,13
Gold,High School,20,7
Gold,None,18,6
Platinum,High School,19,3
Diamond,None,18,1
Gold,High School,19,0
Gold,Bachelor,26,12
Silver,Master,29,9
Gold,High School,25,7
Bronze,Bachelor,27,0
Diamond,High School,21,11
Silver,Bachelor,22,6
Diamond,Bachelor,25,5
Platinum,High School,21,6
Gold,High School,18,3
Bronze,High School,20,18
Diamond,None,18,0
Gold,Bachelor,23,1
Diamond,High School,19,18
Silver,High School,23,3
Silver,High School,21,4
Platinum,High School,20,3
Silver,High School,20,12
Gold,High School,19,12
Platinum,High School,21,5
Platinum,High School,18,2
Gold,High School,21,17
Silver,None,18,5
Platinum,Bachelor,19,3
Unranked,None,20,3
Silver,High School,24,1
Platinum,High School,23,1
Gold,High School,22,20
Platinum,High School,18,3
Platinum,High School,19,7
Gold,High School,19,6
Diamond,High School,26,0
Platinum,None,18,12
Gold,High School,18,6
Silver,Master,25,5
Platinum,Bachelor,18,1
Platinum,Bachelor,28,2
Platinum,Bachelor,25,1
Platinum,High School,18,4
Silver,High School,18,9
Silver,High School,19,13
Gold,High School,22,4
Platinum,Bachelor,22,2
Gold,High School,18,2
Silver,Bachelor,24,0
Diamond,Bachelor,25,6
Platinum,Bachelor,28,2
Gold,Bachelor,24,3
Gold,Master,33,3
Unranked,High School,26,16
Diamond,High School,20,8
Bronze,High School,18,8
Platinum,High School,19,11
Platinum,High School,18,1
Gold,Bachelor,23,2
Gold,High School,20,1
Silver,Bachelor,33,1
Diamond,High School,18,2
Unranked,High School,21,8
Gold,Bachelor,24,5
Silver,High School,21,2
Silver,High School,22,12
Gold,Master,29,0
Diamond,High School,21,3
Gold,High School,18,9
Platinum,Master,18,16
Silver,None,18,8
Gold,High School,21,0
Gold,None,18,1
Silver,High School,34,3
Platinum,High School,21,19
Platinum,High School,20,0
Gold,High School,18,10
Gold,Bachelor,18,8
Silver,High School,19,6
Platinum,Bachelor,20,5
Silver,High School,23,1
Gold,Master,32,1
Platinum,Bachelor,19,0
Gold,High School,19,5
Platinum,High School,19,10
Gold,Bachelor,21,2
Platinum,Bachelor,22,4
Silver,High School,25,3
Platinum,High School,20,0
Gold,High School,19,5
Gold,High School,21,2
Silver,None,21,2
Silver,Bachelor,33,6
Silver,None,19,3
Unranked,High School,18,0
Gold,High School,18,4
Gold,High School,18,21
Platinum,High School,20,5
Diamond,High School,24,4
Platinum,High School,20,1
Silver,None,18,2
Diamond,None,18,0
Platinum,High School,20,1
Gold,High School,19,0
Unranked,High School,24,14
Gold,High School,19,11
Silver,High School,18,1
Silver,None,18,6
Diamond,High School,19,5
Bronze,High School,19,6
Gold,Bachelor,22,15
Bronze,None,18,6
Platinum,None,18,5
Diamond,High School,18,7
Bronze,High School,20,5
Gold,High School,18,9
Platinum,None,21,4
Gold,High School,18,4
Gold,Bachelor,19,4
Diamond,Bachelor,27,21
Platinum,High School,21,8
Gold,None,18,1
Silver,None,19,2
Silver,High School,18,8
Gold,High School,20,12
Platinum,High School,18,4
Gold,Master,24,11
Diamond,High School,18,4
Gold,High School,21,2
Gold,None,18,8
Diamond,High School,19,2
Bronze,High School,21,14
Bronze,High School,18,14
Diamond,High School,20,3
Silver,High School,18,11
Gold,High School,18,6
Platinum,High School,22,1
Platinum,High School,19,3
Gold,None,20,3
Platinum,High School,18,9
Silver,High School,21,5
Unranked,Bachelor,27,10
Gold,High School,18,3
Gold,High School,18,15
Gold,High School,19,1
Gold,High School,18,1
Unranked,Bachelor,20,2
Unranked,Master,25,3
Gold,High School,19,3
Silver,High School,18,8
Diamond,High School,20,2
Gold,High School,19,0
Platinum,Bachelor,22,0
Platinum,High School,22,0
Diamond,Bachelor,20,2
Diamond,High School,18,11
Gold,Bachelor,23,2
Platinum,High School,20,10
Silver,High School,22,0
Gold,High School,19,1
Silver,High School,22,10
Gold,Bachelor,24,1
Platinum,Bachelor,23,6
Silver,High School,18,1
Unranked,High School,23,3
Gold,High School,20,3
Silver,High School,19,3
Unranked,High School,20,11
Platinum,None,18,3
Platinum,High School,19,0
Silver,High School,20,2
Gold,High School,20,6
Silver,Bachelor,21,2
Silver,Bachelor,20,4
Platinum,Bachelor,21,4
Unranked,High School,18,9
Gold,High School,22,14
Gold,High School,19,3
Bronze,High School,29,21
Silver,High School,18,1
Silver,Bachelor,20,4
Gold,High School,21,8
Silver,High School,22,8
Gold,Bachelor,24,5
Gold,High School,20,0
Gold,High School,20,3
Gold,High School,27,1
Silver,Bachelor,27,9
Gold,High School,25,1
Gold,None,21,3
Gold,High School,19,2
Diamond,High School,21,3
Platinum,High School,20,10
Gold,High School,19,4
Platinum,High School,19,3
Gold,High School,23,4
Bronze,Bachelor,28,6
Gold,Bachelor,24,11
Platinum,None,18,2
Gold,High School,19,11
Platinum,High School,26,6
Unranked,High School,18,11
Gold,High School,18,1
Bronze,None,18,13
Gold,High School,21,0
Silver,High School,18,5
Diamond,High School,23,2
Platinum,High School,22,10
Platinum,High School,18,3
Diamond,High School,21,3
Platinum,High School,22,2
Silver,High School,18,10
Silver,Bachelor,26,1
Gold,High School,21,0
Silver,High School,18,1
Platinum,None,18,1
Silver,Bachelor,24,3
Diamond,High School,21,11
Bronze,High School,26,3
Gold,High School,19,14
Diamond,Bachelor,24,5
Platinum,High School,18,1
Diamond,High School,19,5
Platinum,High School,18,5
Silver,Bachelor,22,14
Gold,High School,18,7
Silver,None,18,2
Silver,High School,21,5
Gold,High School,19,2
Silver,High School,20,2
Diamond,High School,18,7
Gold,High School,18,3
Silver,High School,21,5
Silver,Bachelor,29,3
Diamond,High School,20,3
Diamond,None,24,7
Silver,High School,19,11
Gold,Bachelor,22,7
Diamond,Bachelor,24,0
Platinum,High School,20,10
Gold,High School,19,7
Silver,High School,23,8
Diamond,High School,20,3
Gold,High School,18,4
Diamond,None,18,8
Silver,High School,18,9
Platinum,Master,27,6
Gold,Bachelor,18,2
Gold,High School,20,3
Unranked,None,18,3
Platinum,Bachelor,24,6
Platinum,High School,20,0
Platinum,None,18,3
Gold,Bachelor,23,2
Platinum,Bachelor,22,2
Platinum,None,18,2
Gold,High School,21,10
Bronze,None,35,14
Gold,High School,22,7
Platinum,Bachelor,25,3
Silver,High School,21,0
Gold,High School,19,4
Platinum,Master,26,7
Gold,High School,19,2
Silver,High School,19,16
Diamond,High School,21,21
Diamond,None,20,3
Silver,High School,20,9
Silver,None,18,21
Unranked,None,18,11
Gold,High School,25,18
Diamond,High School,20,3
Platinum,None,19,6
Diamond,Master,21,1
Platinum,None,19,20
Gold,High School,19,3
Silver,None,18,9
Platinum,High School,21,1
Gold,High School,21,3
Gold,High School,18,3
Platinum,High School,19,2
Diamond,High School,19,10
Gold,High School,18,4
Silver,Doctor,29,9
Platinum,None,18,9
Bronze,High School,20,3
Silver,Bachelor,20,0
Platinum,High School,21,2
Platinum,High School,18,1
Platinum,High School,21,4
Silver,High School,21,5
Silver,None,18,6
Unranked,High School,18,6
Platinum,High School,18,1
Platinum,Bachelor,22,8
Platinum,High School,27,0
Diamond,None,20,10
Silver,High School,22,8
Gold,Bachelor,21,2
Platinum,High School,21,4
Platinum,High School,18,3
Gold,High School,18,2
Platinum,High School,18,0
Platinum,High School,20,11
Gold,Bachelor,23,1
Silver,High School,18,0
Gold,High School,18,13
Platinum,High School,20,2
Gold,High School,19,7
Diamond,High School,19,7
Unranked,Bachelor,23,8
Platinum,High School,20,5
Gold,High School,22,0
Silver,Master,25,5
Platinum,High School,18,13
Gold,High School,19,7
Platinum,High School,20,0
Silver,High School,21,4
Platinum,Bachelor,20,3
Platinum,High School,19,7
Platinum,High School,20,1
Diamond,None,19,14
Diamond,Bachelor,22,6
Diamond,Bachelor,24,1
Diamond,Bachelor,22,3
Gold,High School,23,4
Unranked,Bachelor,29,4
Platinum,High School,18,13
Gold,Bachelor,29,1
Silver,Bachelor,23,0
Diamond,None,19,14
Diamond,High School,22,4
Gold,High School,18,4
Platinum,High School,18,4
Platinum,High School,19,2
Diamond,High School,20,3
Bronze,Bachelor,26,1
Gold,None,19,1
Silver,High School,20,5
Gold,Bachelor,18,6
Diamond,Bachelor,21,6
Gold,High School,18,7
Gold,None,18,9
Gold,None,18,2
Platinum,High School,19,11
Diamond,Bachelor,24,4
Diamond,High School,24,6
Diamond,Bachelor,24,4
Silver,High School,18,9
Gold,High School,19,1
Silver,Bachelor,21,2
Silver,High School,20,12
Diamond,High School,20,3
Platinum,None,18,1
Gold,High School,18,8
Silver,Bachelor,21,9
Silver,High School,18,18
Platinum,High School,19,3
Platinum,High School,19,9
Silver,High School,31,5
Platinum,High School,22,13
Platinum,Bachelor,23,3
Platinum,Bachelor,23,6
Platinum,High School,19,9
Silver,High School,21,8
Diamond,None,18,1
Diamond,High School,21,3
Platinum,High School,19,9
Gold,High School,18,3
Unranked,Bachelor,24,2
Gold,High School,22,6
Unranked,Master,29,1
Gold,High School,18,5
Bronze,None,18,2
Gold,High School,18,18
Silver,Bachelor,22,7
Silver,High School,18,3
Silver,None,18,4
Platinum,High School,21,2
Silver,High School,20,15
Gold,High School,18,7
Platinum,High School,20,9
Silver,High School,20,1
Platinum,High School,18,3
Platinum,High School,23,4
Gold,High School,21,7
Gold,Bachelor,24,0
Platinum,Bachelor,24,5
Gold,High School,22,5
Diamond,High School,21,4
Diamond,None,18,5
Gold,None,18,10
Silver,None,19,10
Diamond,Bachelor,20,0
Platinum,High School,18,9
Unranked,None,19,2
Gold,High School,19,2
Silver,High School,21,1
Platinum,High School,19,3
Silver,High School,20,2
Silver,High School,18,5
Silver,Bachelor,29,5
Diamond,High School,18,4
Gold,Bachelor,27,7
Silver,High School,21,8
Platinum,None,18,5
Platinum,High School,21,1
Diamond,High School,21,1
Silver,Bachelor,22,0
Gold,None,18,1
Gold,Bachelor,24,3
Diamond,Bachelor,23,2
Platinum,High School,25,9
Diamond,High School,19,4
Diamond,High School,19,9
Silver,High School,25,3
Silver,Doctor,24,4
Gold,None,18,1
Diamond,High School,20,1
Gold,Bachelor,27,4
Silver,High School,20,1
Silver,High School,18,1
Unranked,High School,19,8
Gold,High School,18,5
Platinum,High School,19,2
Gold,None,18,10
Platinum,High School,18,0
Gold,Bachelor,26,3
Diamond,High School,20,3
Diamond,High School,19,8
Platinum,Bachelor,25,12
Bronze,High School,19,6
Silver,High School,21,14
Gold,Bachelor,21,10
Gold,High School,21,9
Gold,High School,19,1
Platinum,High School,18,6
Gold,Bachelor,27,2
Platinum,High School,22,6
Diamond,High School,19,1
Platinum,High School,18,2
Silver,High School,26,5
Gold,Bachelor,25,13
Silver,High School,18,6
Gold,High School,20,5
Diamond,None,20,14
Gold,High School,19,7
Gold,High School,29,0
Silver,High School,18,6
Bronze,High School,22,6
Unranked,Bachelor,21,0
Gold,None,19,5
Silver,High School,21,13
Silver,Bachelor,26,13
Platinum,High School,19,4
Platinum,Bachelor,25,3
Diamond,High School,18,4
Gold,High School,21,9
Unranked,High School,19,4
Gold,Bachelor,21,3
Platinum,Bachelor,20,0
Gold,Bachelor,23,17
Platinum,Bachelor,24,4
Silver,Master,28,2
Platinum,High School,23,0
Silver,High School,23,4
Silver,High School,21,3
Gold,High School,25,7
Silver,Bachelor,25,0
Platinum,None,18,0
Gold,High School,22,5
Silver,High School,22,4
Platinum,None,19,2
Gold,Bachelor,30,12
Silver,Bachelor,25,3
Gold,Bachelor,27,2
Silver,High School,20,13
Gold,None,18,0
Diamond,High School,19,6
Platinum,None,18,2
Silver,High School,21,1
Silver,None,18,1
Platinum,High School,19,3
Silver,High School,21,9
Gold,High School,21,8
Platinum,High School,19,3
Gold,High School,20,1
Gold,High School,18,3
Diamond,High School,19,10
Silver,High School,18,8
Unranked,High School,21,4
Platinum,None,18,2
Silver,High School,21,6
Silver,High School,21,6
Diamond,High School,20,13
Bronze,High School,19,2
Platinum,High School,18,7
Gold,None,18,10
Silver,Bachelor,24,0
Platinum,Bachelor,26,11
Silver,High School,19,8
Gold,High School,25,0
Silver,None,18,4
Silver,Bachelor,25,5
Gold,High School,20,5
Diamond,High School,27,13
Gold,High School,19,0
Silver,Bachelor,22,13
Diamond,High School,19,13
Gold,High School,18,5
Gold,High School,18,1
Platinum,Bachelor,20,9
Bronze,High School,19,6
Silver,Bachelor,23,7
Gold,High School,25,7
Silver,High School,18,2
Gold,None,19,1
Gold,High School,19,0
Silver,Bachelor,18,7
Gold,High School,24,0
Gold,High School,20,3
Bronze,High School,18,1
Gold,High School,24,5
Gold,Bachelor,20,3
Gold,High School,19,1
Gold,High School,20,2
Silver,Bachelor,27,1
Silver,High School,18,7
Silver,High School,18,0
Gold,High School,18,7
Platinum,High School,19,4
Silver,High School,28,9
Silver,None,18,9
Diamond,High School,18,9
Silver,Master,36,1
Platinum,High School,20,9
Gold,Bachelor,23,15
Platinum,High School,19,2
Platinum,Bachelor,26,1
Diamond,None,18,7
Gold,High School,18,15
Diamond,High School,23,5
Diamond,High School,21,4
Silver,High School,19,6
Gold,High School,20,12
Platinum,Bachelor,23,2
Platinum,Bachelor,23,3
Platinum,High School,19,9
Gold,High School,26,3
Gold,High School,18,3
Gold,High School,18,2
Silver,Bachelor,21,12
Silver,High School,18,5
Gold,High School,18,5
Silver,High School,26,5
Gold,None,18,3
Bronze,Bachelor,22,1
Gold,High School,19,2
Silver,High School,20,12
Platinum,High School,19,1
Gold,Master,21,6
Silver,High School,18,16
Gold,High School,24,19
Diamond,Bachelor,19,4
Silver,High School,19,11
Platinum,High School,21,1
Unranked,High School,20,4
Platinum,High School,21,2
Platinum,High School,20,8
Gold,Bachelor,24,1
Gold,High School,18,11
Silver,High School,21,4
Diamond,High School,20,2
Platinum,High School,18,8
Diamond,High School,23,6
Gold,High School,25,3
Gold,High School,20,3
Platinum,Bachelor,18,5
Gold,High School,18,10
Platinum,High School,21,14
Platinum,Master,30,1
Platinum,None,20,12
Silver,None,18,2
Diamond,None,18,8
Gold,High School,19,2
Silver,High School,19,3
Silver,High School,20,0
Diamond,Bachelor,31,3
Gold,High School,21,6
Silver,None,18,1
Silver,None,18,2
Gold,High School,20,1
Platinum,None,20,0
Gold,High School,18,8
Platinum,High School,23,17
Gold,None,22,1
Platinum,High School,19,12
Gold,High School,18,1
Silver,Bachelor,24,9
Silver,High School,21,16
Diamond,High School,20,9
Platinum,High School,19,3
Diamond,Bachelor,21,9
Platinum,None,18,11
Gold,High School,21,1
Silver,High School,23,14
Silver,High School,22,13
Platinum,High School,21,3
Diamond,High School,19,5
Gold,Bachelor,21,4
Gold,Bachelor,25,19
Silver,High School,20,3
Diamond,High School,22,9
Bronze,Bachelor,22,2
Platinum,High School,18,7
Silver,High School,18,15
Platinum,None,18,8
Diamond,Bachelor,21,3
Silver,High School,18,6
Silver,Bachelor,24,2
Platinum,High School,20,3
Gold,Bachelor,24,2
Silver,Bachelor,20,0
Silver,High School,21,6
Diamond,High School,22,1
Platinum,High School,21,8
Gold,Master,26,5
Gold,None,18,1
Silver,High School,18,1
Diamond,High School,18,11
Silver,None,22,11
Gold,High School,24,0
Gold,High School,19,17
Gold,High School,25,0
Platinum,High School,22,4
Gold,Master,28,0
Platinum,High School,19,5
Silver,High School,18,2
Gold,High School,18,5
Silver,High School,20,11
Platinum,Bachelor,25,6
Diamond,High School,19,9
Gold,Bachelor,18,10
Gold,None,18,10
Platinum,High School,18,2
Silver,None,18,5
Diamond,Master,19,2
Diamond,High School,18,0
Diamond,High School,21,2
Gold,High School,18,2
Silver,High School,21,8
Gold,High School,21,2
Silver,High School,21,2
Gold,High School,27,2
Gold,Bachelor,23,2
Platinum,None,18,11
Diamond,Bachelor,33,14
Diamond,Master,24,8
Bronze,Master,26,4
Gold,Bachelor,23,1
Platinum,High School,21,1
Gold,High School,24,6
Silver,None,18,10
Platinum,Bachelor,21,5
Diamond,None,18,1
Silver,None,18,3
Gold,High School,27,21
Silver,None,18,16
Gold,High School,22,9
Gold,High School,22,8
Silver,High School,32,12
Diamond,Master,24,5
Bronze,Bachelor,26,4
Bronze,High School,19,4
Platinum,High School,20,1
Platinum,High School,21,9
Platinum,None,18,2
Gold,High School,20,3
Gold,Bachelor,22,10
Silver,None,18,7
Diamond,None,19,6
Diamond,High School,25,0
Silver,High School,19,1
Diamond,None,18,3
Platinum,Bachelor,23,2
Platinum,High School,22,1
Gold,High School,18,5
Platinum,High School,19,11
Gold,High School,18,9
Gold,High School,19,3
Silver,High School,26,7
Platinum,High School,23,15
Gold,High School,24,2
Platinum,High School,22,7
Platinum,High School,21,2
Platinum,Bachelor,22,6
Gold,Bachelor,25,5
Gold,Bachelor,29,7
Gold,None,18,4
Platinum,High School,19,8
Platinum,None,18,10
Gold,High School,19,2
Gold,None,18,3
Platinum,Bachelor,24,5
Silver,High School,18,10
Platinum,High School,19,4
Bronze,High School,24,0
Gold,High School,21,8
Silver,High School,18,4
Platinum,Bachelor,20,12
Platinum,Bachelor,20,21
Silver,High School,26,1
Bronze,Master,26,2
Silver,High School,21,6
Gold,None,18,7
Platinum,High School,19,4
Diamond,Bachelor,21,1
Diamond,High School,19,4
Bronze,Bachelor,23,9
Silver,Bachelor,27,10
Silver,Bachelor,23,7
Platinum,Bachelor,25,6
Silver,Bachelor,25,13
Platinum,None,23,3
Silver,Bachelor,21,3
Gold,Bachelor,19,10
Platinum,High School,20,1
Silver,Doctor,24,1
Bronze,High School,19,6
Platinum,Bachelor,20,2
Silver,High School,21,3
Gold,None,19,2
Silver,High School,21,3
Gold,High School,19,7
Silver,None,19,7
Gold,High School,18,4
Platinum,High School,21,5
Platinum,High School,18,3
Bronze,High School,20,13
Gold,High School,20,13
Gold,High School,21,1
Platinum,High School,20,7
Diamond,High School,21,6
Platinum,Master,35,1
Silver,Bachelor,34,0
Silver,High School,18,1
Gold,High School,22,10
Silver,High School,21,5
Silver,Bachelor,33,2
Gold,Master,25,5
Platinum,High School,24,9
Platinum,High School,18,7
Bronze,High School,19,0
Platinum,High School,21,0
Silver,None,18,12
Platinum,High School,19,0
Gold,None,18,12
Platinum,High School,20,10
Silver,High School,20,2
Diamond,None,18,4
Gold,High School,18,10
Silver,High School,19,19
Silver,Bachelor,22,4
Diamond,High School,18,0
Diamond,High School,20,18
Gold,High School,18,5
Diamond,High School,20,2
Silver,Bachelor,26,2
Gold,High School,18,11
Gold,Master,25,8
Diamond,None,18,15
Silver,Bachelor,22,2
Gold,Bachelor,25,2
Bronze,Bachelor,26,1
